CustomerID,CustomerName,Gender,Age,Segment,City,State,Country,ZipCode,AcquisitionChannel,LoyaltyTier,CLV
139,Casey Wilson,Female,43,Retail,Hamilton,Ontario,Canada,P4J 6B2,YouTube,Platinum,46.37
140,Drew Wilson,Female,27,RepairShop,Surrey,British Columbia,Canada,L5X 3A1,Direct,Platinum,43.21
141,Drew Smith,Other,21,Fleet,London,Ontario,Canada,H0N 0M5,Referral,Platinum,58.07
142,Harper Davis,Male,48,Wholesale,Brampton,Ontario,Canada,B1E 0H3,Referral,Gold,29.72
143,Elliot Miller,Female,63,Fleet,Ottawa,Ontario,Canada,L1M 9P2,Paid Search,Gold,15.57
144,Drew White,Other,58,Fleet,Kelowna,British Columbia,Canada,E3L 8K0,Referral,Gold,16.61
145,Emerson Anderson,Other,47,Retail,Kelowna,British Columbia,Canada,C0J 5E5,Referral,Gold,27.22
146,Reese Davis,Other,20,Retail,Calgary,Alberta,Canada,J0R 0G2,Email,Silver,21.20
147,Riley Smith,Male,38,RepairShop,Winnipeg,Manitoba,Canada,T6P 7H4,Facebook Ads,Platinum,19.65
148,Casey White,Other,70,Fleet,Ottawa,Ontario,Canada,X4L 1H6,Referral,Platinum,36.90
149,Casey Davis,Female,63,RepairShop,Red Deer,Alberta,Canada,T3Y 1A9,Referral,Platinum,88.61
150,Morgan Johnson,Female,39,Fleet,Vancouver,British Colmbia,Canada,J1A 8B9,Referral,Platinum,64.89
151,Riley Moore,Other,27,Wholesale,Hamilton,Ontario,Canada,P0H 0L8,Marketplace,Silver,38.94
152,Jesse Williams,Other,63,Wholesale,Red Deer,Alberta,Canada,H3C 8G7,Direct,None,27.20
153,Parker Taylor,Female,33,Retail,Calgray,Alberta,Canada,H4T 8Y9,Marketplace,Platinum,44.43
154,Harper Jones,Other,25,Wholesale,Richmond,British Columbia,Canada,C1C 9T3,Instagram Ads,None,232.12
155,Elliot Williams,Male,60,RepairShop,Barrie,Ontario,Canada,H7V 3M0,YouTube,Silver,17.78
156,Parker Johnson,Male,51,Wholesale,Saskatoon,Saskatchewan,Canada,G9M 9V8,Referral,None,75.88
157,Jordan Taylor,Female,67,Wholesale,Calgary,Alberta,Canada,L0L 1V9,SEO,Platinum,11.89
158,Jordan Williams,Male,21,RepairShop,Surrey,British Columbia,Canada,V1C 0H9,YouTube,Platinum,37.71
159,Jordan White,Male,72,Retail,Toronto,OntaPio,Canada,T0J 5S2,YouTube,Gold,52.48
160,Riley Jones,Male,51,Wholesale,Burlington,Ontario,Canada,H1E 3J8,Instagram Ads,Silver,44.50
161,Jamie Anderson,Male,31,Wholesale,Halifax,Nova Scotia,Canada,B9M 6L1,Email,None,52.17
162,Taylor Moore,Other,48,Wholesale,Edmonton,Alberta,Canada,N7L 7B8,YouTube,Gold,29.21
163,Drew Johnson,Male,26,Fleet,Brampton,Ontario,Canada,P2K 2H1,Direct,Platinum,20.79
164,Elliot Martin,Male,44,RepairShop,Calgary,Alberta,Canada,K4B 6R6,Email,Gold,16.06
165,Jordan Johnson,Female,68,Fleet,Edmonton,Alberta,Canada,C9N 8L8,YouTube,None,18.98
166,Drew Wilson,Other,48,RepairShop,Hamilton,Ontario,Canada,J4M 2A3,Facebook Ads,Silver,34.07
167,Kai Miller,Male,33,Retail,Saskatoon,Saskatchewan,Canada,Y5A 7V7,Facebook Ads,Gold,29.27
168,Harper Martin,Male,26,RepairShop,Brampton,Ontario,Canada,E1P 1M9,YouTube,Platinum,53.71
169,Shawn Williams,Male,68,Wholesale,Gatineau,Quebec,Canada,C5K 4M5,Instagram Ads,Silver,24.60
170,Morgan White,Male,65,Wholesale,Hamilton,Ontario,Canada,Y4K 9M0,Marketplace,Silver,60.02
171,Talor Thompson,Male,62,RepairShop,Richmond,British Columbia,Canada,K2K 2T3,Referral,Silver,18.80
172,Kai Smith,Female,47,Retail,Hamilton,Ontario,Canada,G4N 4V0,Facebook Ads,None,21.56
173,Elliot Jones,Female,74,Fleet,Kelowna,British Columbia,Canada,B7V 2X2,YouTube,Silver,43.77
174,Rowan Clark,Male,19,Fleet,Calgary,Alberta,Canada,Y4K 5E0,Instagram Ads,None,37.87
175,Riley Martin,Male,NULL,Fleet,Calgary,Alberta,Canada,B5E 2Y1,SEO,Platinum,32.28
176,Drew Johnson,Female,NULL,Fleet,Winnipeg,Manitoba,Canada,Y1B 9S5,Paid Search,Gold,24.67
177,Emerson Martin,Male,63,Retail,Kitchener,Ontario,Canada,H0B 3R7,Referral,None,19.73
178,Casey Jones,Other,47,Retail,Red Deer,Alberta,Canada,K5P 1Y7,Email,None,24.12
179,Jesse Anderson,Female,69,Fleet,Surrey,British Columbia,Canada,K1R 1V3,SEO,None,18.78
180,Rowan Clark,Female,66,Retail,Edmonton,Alberta,Canada,V3Y 7M0,Paid Search,Silver,27.98
181,Reese Smith,Female,35,RepairShop,Calgary,Alberta,Canada,C8A 2G5,YouTube,Platinum,25.15
182,Jesse Davis,Male,59,RepairShop,Oakville,Ontario,Canada,E0H 7S7,Facebook Ads,Gold,11.45
183,Drew Thompson,Other,57,Wholesale,Kitchener,Ontario,Canada,X6A 2X8,Email,Silver,33.37
184,Taylor Miller,Other,45,Retail,Saskatoon,Saskatchewan,Canada,G1A 4X2,Referral,Gold,23.39
185,Morgan Martin,Other,60,Retail,Hamilton,Ontario,Canada,S2P 9X7,YouTube,Gold,31.50
186,Taylor White,Female,52,RepairShop,London,Ontario,Canada,S3V 3V6,Direct,Gold,30.54
187,Morgan Taylor,Female,NULL,RepairShop,Saskatoon,Saskatchewan,Canada,Y6V 7V0,Direct,Gold,33.28
188,Cameron Johnson,Female,73,Retail,Saskatoon,Saskatchewan,Canada,P1R 9E9,Email,Gold,28.93
189,Emerson Davis,Male,51,Retail,Surrey,British Columbia,Canada,N8M 6H6,Instagram Ads,Platinum,19.66
