EmployeeID,EmployeeName,Role,Department,SalesRegion,CommissionRate
247,Sophia Johnson,Sales Associate,Marketing,Ontario,0.04
248,Chloe Baker,CSR,Customer Service,British Columbia,0.03
249,Henry Brown,CSR,Warehouse,Atlantic Canada,0.04
250,Amelia Gagnon,Sales Associate,Customer Service,Alberta,0.04
251,Lucas Morin,CSR,Customer Service,Quebec,0.04
252,├ëloise Tremblay,CSR,Retail,Quebec,0.05
253,Oliver Taylor,CSR,Warehouse,Atlantic Canada,0.03
254,Antoine Fortin,CSR,Marketing,Quebec,0.04
255,Maxime Tremblay,Manager,Marketing,Quebec,0.03
256,Catherine C├┤t├⌐,Manager,Customer Service,Quebec,0.03
257,Layla Bautista,Manager,Customer Service,Manitoba,0.07
258,Riya Huang,Sales Associate,Customer Service,Ontario,0.05
259,Katrina Wu,Sales Associate,E-Commerce,Alberta,0.04
260,Liam Singh,CSR,E-Commerce,Alberta,0.03
261,Grace Li,Sales Associate,Operations,British Columbia,0.03
262,Julien Roy,Manager,Warehouse,Quebec,0.03
263,Amelia Chan,CSR,Retail,British Columbia,0.05
264,Jason Taylor,CSR,Warehouse,British Columbia,0.04
265,Olivia Dela Cruz,Sales Associate,Customer Service,Alberta,0.05
266,Sophie Gauthier,CSR,Warehouse,Quebec,0.02
267,Olivia Stewart,CSR,Retail,Atlantic Canada,0.02
268,Jason Khalil,CSR,Operations,Ontario,0.04
269,Benjamin Castillo,CSR,Warehouse,Ontario,0.02
270,Sophia Parker,CSR,Warehouse,Atlantic Canada,0.02
271,Henry Wang,CSR,Marketing,British Columbia,0.04
272,Oliver Parker,CSR,Operations,Atlantic Canada,0.04
273,Emily Park,Sales Associate,Operations,British Columbia,0.04
274,Connor Stewart,Sales Associate,Retail,Atlantic Canada,0.01
275,Carlo Park,CSR,Customer Service,Ontario,0.03
276,Karan Flores,CSR,Marketing,Ontario,0.02
277,Oliver Smith,Manager,Warehouse,Atlantic Canada,0.02
278,Antoine Bouchard,Manager,Operations,Quebec,0.03
279,Benjamin Kim,Sales Associate,Marketing,British Columbia,0.01
280,Antoine Gagnon,Sales Associate,Marketing,Quebec,0.02
281,Miguel Sidhu,CSR,Warehouse,Ontario,0.02
282,Sophia O'Connor,CSR,Retail,Atlantic Canada,0.05
283,Rohit Singh,Sales Associate,Marketing,Manitoba,0.03
284,Vivian Chen,Manager,Warehouse,British Columbia,0.01
285,Laurent Bouchard,Manager,Retail,Quebec,0.03
286,Leo Dela Cruz,Manager,Retail,Ontario,0.02
287,├ëmilie Fortin,Manager,E-Commerce,Quebec,0.02
288,Olivier Singh,CSR,E-Commerce,Alberta,0.05
289,Grace Dela Cruz,Sales Associate,Operations,Alberta,0.02
290,Jack O'Connor,CSR,E-Commerce,Atlantic Canada,0.04
291,Sophia Tran,Sales Associate,E-Commerce,British Columbia,0.06
292,Alex Saleh,Manager,Operations,Ontario,0.03
293,Henry Joshi,Sales Associate,E-Commerce,Manitoba,0.03
294,James Nguyen,Sales Associate,E-Commerce,Manitoba,0.03
295,Angela Sidhu,Sales Associate,Retail,Ontario,0.03
296,Jack Sharma,CSR,E-Commerce,Ontario,0.05
297,Christine Nguyen,Sales Associate,Marketing,Manitoba,0.03
298,Lucas O'Connor,Sales Associate,Retail,Atlantic Canada,0.05
299,Layla Wu,Manager,Operations,Ontario,0.02
